event_id,time_s,time_ns,node_id,longitude_deg,latitude_deg,spatial_risk,step_failure_probability,random_value,risk_active,recovery_time_s
1,57,57000000000,17,-65.3088005853065,-46.586809690103912,0.27323972451675621,0.00039054669564451245,0.00015500468021281379,false,65
2,264,264000000000,28,-34.341045911256458,-28.807220425138507,0.56339482756700587,0.0008051038798072204,0.00014096755285776478,true,272
3,535,535000000000,28,-34.295470027537803,-12.633107447290508,0.24821014795591276,0.00035477779635346637,3.1801175003555697e-05,false,543
4,631,631000000000,17,-64.676491872683982,-12.345594332148808,0.3958023717086056,0.00056567824467415335,0.00034498937236093676,false,639
5,1362,1362000000000,15,-69.367374055892881,-34.020505803507305,0.6501609242609564,0.00092903697079620129,0.00073574766354530922,true,1370
6,1566,1566000000000,26,-38.844736026771351,-16.405965879861139,0.42518289865366299,0.00060765594746628579,0.00029406860963587437,false,1574
7,1884,1884000000000,36,-10.761801594952763,-24.637539368079864,0.1172119455207304,0.00016755193101039003,0.00014868775171391954,false,1892
8,2128,2128000000000,25,-41.125865468383296,-15.51668167550371,0.42727919736667219,0.0006106509864798078,0.00027323631961670577,false,2136
9,2139,2139000000000,25,-41.127336229704163,-14.860063373746238,0.40305247250115972,0.00057603705788419402,0.00015740912238627148,false,2147
10,2159,2159000000000,24,-44.029354447098491,-46.302326698339769,0.25044504286659608,0.00035797165915436754,0.00015893556015998976,false,2167
11,2864,2864000000000,23,-45.898266129969223,-36.890585521122262,0.63949675376797166,0.00091380554090263687,0.00058126964627394607,true,2872
12,3812,3812000000000,43,-20.186244512420078,-40.171239194903016,0.15101787059579841,0.00021587155053964241,0.00010125339521577261,false,3820
13,4128,4128000000000,21,-80.729110959989882,-32.201754841807947,0.21154842717625469,0.00030238349303844425,0.00020323694736540436,false,4136
14,5036,5036000000000,41,-24.532621833397869,-32.430629717568678,0.3134489476871084,0.00044800562162522348,0.00034110319589950722,false,5044
