random_run,occurred_fault_count,risk_only_episode_count,occurred_node_ids,start_times_ns
1,2,7,51;29,383000000000;621000000000
2,0,7,,
3,1,7,50,410000000000
4,1,7,29,755000000000
5,0,7,,
6,0,7,,
7,1,7,38,993000000000
8,0,7,,
9,1,7,29,839000000000
10,3,7,19;29;51,185000000000;436000000000;496000000000
11,0,7,,
12,4,7,18;18;18;49,352000000000;635000000000;821000000000;959000000000
13,1,7,28,921000000000
14,2,7,29;49,855000000000;985000000000
15,0,7,,
16,3,7,40;30;50,335000000000;359000000000;762000000000
17,0,7,,
18,0,7,,
19,2,7,29;17,152000000000;884000000000
20,1,7,50,966000000000
21,0,7,,
22,3,7,40;28;49,53000000000;790000000000;923000000000
23,1,7,29,78000000000
24,2,7,40;49,519000000000;977000000000
25,3,7,19;29;17,24000000000;97000000000;930000000000
26,1,7,30,302000000000
27,1,7,17,958000000000
28,1,7,39,736000000000
29,0,7,,
30,1,7,30,312000000000
