case,scheme,random_seed,random_run,isl_bandwidth_bps,tasks,completed,extra_sent_bytes,proactive_lifetime_sent_bytes,recovery_sent_bytes,total_network_sent_bytes,primary_fault_catch_cohort,no_observed_catch,task_execution_waste_wu,normal_protection_eq_wu,reserved_idle_eq_wu,w_waste_actual,mean_link_utilization_percent,max_link_whole_run_utilization_percent,caught,catch_mean_ms,catch_p90_ms,faults_f1,faults_f2,faults_f3,execution_commit,output_root
10Gbps-Run-A,recompute,1,11,10000000000,800,742,6371649953,0,6371649953,292457233899,83,58,23870497,0.0,522006.86279999994,24392503.862799995,0.35593891935791483,1.1120341396153846,25,1087.77514612,1959.2985576000003,84,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/recompute
10Gbps-Run-A,one-plus-one,1,11,10000000000,800,800,192208801681,192208801681,0,486323918194,83,0,321575614,0.0,15721457.860600002,337297071.8605999,0.6185065182679594,2.1838216546923075,83,229.59084157831336,412.63326779999994,88,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/one-plus-one
10Gbps-Run-A,cb-sat,1,11,10000000000,800,795,300984884843,297108885635,3875999208,594440733399,83,4,5500047,512190.0,327825.07700000005,6340062.076999999,0.6599794098277187,7.445873711846154,79,260.5427173037976,448.554001,84,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/cb-sat
10Gbps-Run-A,multitree,1,11,10000000000,800,766,54589649802,51572849921,3016799881,344221127972,83,34,89535794,0.0,4495433.8756,94031227.87560001,0.43121679765003196,1.4489796244615385,49,439.4097833469387,1151.0520706000007,84,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/multitree
10Gbps-Run-A,compfrr-p,1,11,10000000000,800,800,113321868437,103045985012,10275883425,407607906959,83,0,624725,443890.0,828382.6737999998,1896997.6738,0.4199967104440562,1.1995974767692308,83,175.07321471084336,393.59976179999995,84,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/compfrr-p
10Gbps-Run-A,compfrr-fa-ffp,1,11,10000000000,800,800,112197400927,102320814189,9876586738,406089217095,83,0,618711,439880.0,817754.2477000003,1876345.2476999997,0.4341533933833436,1.6293214777692309,83,173.06810313253013,380.3377362,84,2,1,1fd8348bde73a73808390467d28ba94c1d437be5,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run11-1fd8348bd/compfrr-fa-ffp
10Gbps-Run-B,recompute,1,12,10000000000,800,739,3376035679,0,3376035679,286446110032,82,61,24582354,0.0,277235.31440000003,24859589.314400002,0.3499083945228861,1.1210350382307692,21,1191.933484047619,2373.994898,81,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/recompute
10Gbps-Run-B,one-plus-one,1,12,10000000000,800,800,193031954576,193031954576,0,486876735127,82,0,321974067,0.0,15752925.871800024,337726992.87180007,0.6195413145143042,2.1140017705384615,82,252.70630990243896,434.35057070000005,87,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/one-plus-one
10Gbps-Run-B,cb-sat,1,12,10000000000,800,796,299113684538,296677329189,2436355349,592057363004,82,3,5105221,510400.0,212579.3105,5828200.310500001,0.659511052820725,7.127089614384615,79,254.80497791139246,429.31016180000006,81,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/cb-sat
10Gbps-Run-B,multitree,1,12,10000000000,800,765,55706927565,53794642957,1912284608,342058452249,82,35,91287727,0.0,4564954.443199997,95852681.44320002,0.43102258770883695,1.473188399076923,47,324.8875538297872,718.1767034,81,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/multitree
10Gbps-Run-B,compfrr-p,1,12,10000000000,800,800,112489556790,99909149837,12580406953,406775601936,82,0,653984,439360.0,957063.4539000001,2050407.4539,0.4206339411993005,1.1697317031538461,82,196.46920269512194,445.5859395,81,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/compfrr-p
10Gbps-Run-B,compfrr-fa-ffp,1,12,10000000000,800,800,112675439254,99596905895,13078533359,406854638758,82,0,639828,436960.0,950862.5882000001,2027650.5881999999,0.43712609361951665,1.6523399283846154,82,193.986658097561,444.2219365,81,2,1,363c2092fb24c444b7cb0c7411a617501370cce4,/home/emsky/project/SCP-SatComPlate/output/multitree/stage-c/run-B-run12/compfrr-fa-ffp
