"path","category","reason","replacement","delete_safe","referenced_by","dependency_gate","ambiguous_reference_count"
"AGENTS.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","AGENTS.md","false","contrib/satcompute/tests/integration/regression/analyze-checkpoint-maintenance.py:20 [literal_code_reference]; contrib/satcompute/tests/unit/test_checkpoint_maintenance.py:32 [literal_code_reference]; contrib/satcompute/tests/unit/test_recovery_u_revalidation.py:24 [literal_code_reference]","保留；无删除依据","0"
"MILESTONES.md","CANONICAL","里程碑保留阶段名和简短状态；不扩写为架构手册","MILESTONES.md","false","","保留；无删除依据","0"
"README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","README.md","false","","保留；无删除依据","83"
"contrib/satcompute/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/README.md","false","AGENTS.md:41 [doc_reference]; README.md:119 [doc_reference]; docs/upstream/ns-3.48/README.md:11 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/common/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/common/README.md","false","contrib/satcompute/README.md:49 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/fault/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/fault/README.md","false","README.md:125 [doc_reference]; contrib/satcompute/README.md:216 [doc_reference]; contrib/satcompute/README.md:219 [doc_reference]; contrib/satcompute/README.md:54 [doc_reference]","保留；无删除依据","76"
"contrib/satcompute/input/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/input/README.md","false","README.md:120 [doc_reference]; contrib/satcompute/README.md:292 [doc_reference]; contrib/satcompute/README.md:57 [doc_reference]","保留；无删除依据","80"
"contrib/satcompute/input/experiments/leo-66/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/input/experiments/leo-66/README.md","false","README.md:87 [doc_reference]; contrib/satcompute/README.md:75 [doc_reference]; contrib/satcompute/input/README.md:3 [doc_reference]","保留；无删除依据","77"
"contrib/satcompute/metrics/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/metrics/README.md","false","README.md:124 [doc_reference]; contrib/satcompute/README.md:312 [doc_reference]; contrib/satcompute/README.md:56 [doc_reference]; contrib/satcompute/fault/README.md:321 [doc_reference]; contrib/satcompute/routing/README.md:153 [doc_reference]; contrib/satcompute/task/README.md:160 [doc_reference]; contrib/satcompute/traffic/README.md:120 [doc_reference]","保留；无删除依据","81"
"contrib/satcompute/protection/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","原模块入口 + docs/protection/{architecture,compfrr-f,compfrr-p,recovery,baselines,reproducibility}.md (后续拆出，不重复)","false","AGENTS.md:119 [doc_reference]; AGENTS.md:71 [doc_reference]; contrib/satcompute/README.md:105 [doc_reference]; contrib/satcompute/README.md:108 [doc_reference]; contrib/satcompute/README.md:55 [doc_reference]; contrib/satcompute/tests/unit/test_checkpoint_maintenance.py:33 [literal_code_reference]","先形成 canonical 的唯一职责映射再缩短 README；检查源码/测试/参数链接","81"
"contrib/satcompute/protection/policy/baseline/checkbullet/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/protection/policy/baseline/checkbullet/README.md","false","contrib/satcompute/README.md:100 [doc_reference]; contrib/satcompute/protection/README.md:76 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/protection/policy/baseline/checkbullet/parameter-provenance.md","CANONICAL","CB 冻结 MTBF/参数的来源，运行配置审计所需；必须保留","contrib/satcompute/protection/policy/baseline/checkbullet/parameter-provenance.md","false","","保留；无删除依据","0"
"contrib/satcompute/protection/policy/baseline/checkbullet/preflight.md","HISTORICAL_EVIDENCE","原始测量/阶段审阅证据，保留历史语境；不能以新代码覆盖旧结果","contrib/satcompute/protection/policy/baseline/checkbullet/preflight.md","false","contrib/satcompute/protection/policy/baseline/checkbullet/README.md:5 [doc_reference]","保留；无删除依据","0"
"contrib/satcompute/routing/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/routing/README.md","false","README.md:122 [doc_reference]; contrib/satcompute/README.md:303 [doc_reference]; contrib/satcompute/README.md:51 [doc_reference]; contrib/satcompute/traffic/README.md:100 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/task/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/task/README.md","false","README.md:123 [doc_reference]; contrib/satcompute/README.md:174 [doc_reference]; contrib/satcompute/README.md:292 [doc_reference]; contrib/satcompute/README.md:52 [doc_reference]","保留；无删除依据","79"
"contrib/satcompute/tests/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/README.md","false","README.md:129 [doc_reference]; contrib/satcompute/README.md:315 [doc_reference]; contrib/satcompute/README.md:59 [doc_reference]","保留；无删除依据","82"
"contrib/satcompute/tests/fixtures/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/README.md","false","","保留；无删除依据","82"
"contrib/satcompute/tests/fixtures/fault/f1/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/fault/f1/README.md","false","README.md:95 [doc_reference]; contrib/satcompute/README.md:84 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/tests/fixtures/fault/f2/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/fault/f2/README.md","false","README.md:98 [doc_reference]; contrib/satcompute/README.md:86 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/tests/fixtures/fault/f3/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/fault/f3/README.md","false","README.md:100 [doc_reference]; contrib/satcompute/README.md:88 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/tests/fixtures/fault/joint/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/fault/joint/README.md","false","README.md:102 [doc_reference]; contrib/satcompute/README.md:90 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/tests/fixtures/task/20tasks/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tests/fixtures/task/20tasks/README.md","false","README.md:92 [doc_reference]; contrib/satcompute/README.md:82 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/tools/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/README.md","false","README.md:128 [doc_reference]; contrib/satcompute/README.md:58 [doc_reference]","保留；无删除依据","82"
"contrib/satcompute/tools/generation/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/generation/README.md","false","contrib/satcompute/tools/README.md:53 [doc_reference]","保留；无删除依据","80"
"contrib/satcompute/tools/validation/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/validation/README.md","false","contrib/satcompute/tools/README.md:54 [doc_reference]","保留；无删除依据","81"
"contrib/satcompute/tools/validation/compfrr-shadow/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/validation/compfrr-shadow/README.md","false","contrib/satcompute/README.md:111 [doc_reference]; contrib/satcompute/tools/validation/README.md:7 [doc_reference]","保留；无删除依据","82"
"contrib/satcompute/tools/validation/f2/fixtures/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/validation/f2/fixtures/README.md","false","","保留；无删除依据","82"
"contrib/satcompute/tools/validation/pre-n5-backup-feasibility/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/tools/validation/pre-n5-backup-feasibility/README.md","false","","保留；无删除依据","83"
"contrib/satcompute/topology/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/topology/README.md","false","README.md:121 [doc_reference]; contrib/satcompute/README.md:50 [doc_reference]","保留；无删除依据","82"
"contrib/satcompute/topology/export/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/topology/export/README.md","false","contrib/satcompute/README.md:268 [doc_reference]; contrib/satcompute/topology/README.md:128 [doc_reference]; contrib/satcompute/topology/README.md:25 [doc_reference]","保留；无删除依据","83"
"contrib/satcompute/traffic/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","contrib/satcompute/traffic/README.md","false","contrib/satcompute/README.md:53 [doc_reference]","保留；无删除依据","80"
"docs/README.md","CANONICAL","现行模块/入口/配置/参数说明；保持原位，避免重复","docs/README.md","false","","后续修正 CB-Sat 尚未合入 n5 的过时说明（PR #98 已合并）；本轮只记录","81"
"docs/calibration/n4b-f1/README.md","HISTORICAL_EVIDENCE","原始测量/阶段审阅证据，保留历史语境；不能以新代码覆盖旧结果","docs/calibration/n4b-f1/README.md","false","README.md:126 [doc_reference]; docs/README.md:11 [doc_reference]","保留；无删除依据","82"
