"path","lines","current_layer","category","runtime_class","reason","proposed_path","action","direct_dependencies","referenced_by","name_classification","stage_name_occurrences","compatibility_gate","delete_safe","ambiguous_reference_count"
"contrib/satcompute/common/time-conversion.cc","44","outside-protection","PUBLIC_SUBSTRATE","","秒/ns 转换等公共基础能力","contrib/satcompute/common/time-conversion.cc","KEEP","contrib/satcompute/common/time-conversion.h [include:5]","contrib/satcompute/CMakeLists.txt:5 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/common/time-conversion.h","27","outside-protection","PUBLIC_SUBSTRATE","","秒/ns 转换等公共基础能力","contrib/satcompute/common/time-conversion.h","KEEP","","contrib/satcompute/CMakeLists.txt:108 [build_reference]; contrib/satcompute/common/time-conversion.cc:5 [include]; contrib/satcompute/common/time-conversion.cc:5 [literal_code_reference]; contrib/satcompute/fault/model/f3-debris-fault-model.cc:6 [include]; contrib/satcompute/fault/model/f3-debris-fault-model.cc:6 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.cc:10 [include]; contrib/satcompute/fault/runtime/fault-model-engine.cc:10 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:10 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.cc:10 [literal_code_reference]; contrib/satcompute/metrics/core/task-metrics.cc:9 [include]; contrib/satcompute/metrics/core/task-metrics.cc:9 [literal_code_reference]; contrib/satcompute/metrics/diagnostics/failure-diagnostics.cc:9 [include]; contrib/satcompute/metrics/diagnostics/failure-diagnostics.cc:9 [literal_code_reference]; contrib/satcompute/satcompute.cc:33 [include]; contrib/satcompute/satcompute.cc:33 [literal_code_reference]; contrib/satcompute/topology/online/online-topology-controller.cc:8 [include]; contrib/satcompute/topology/online/online-topology-controller.cc:8 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/fault-para.cc","137","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/fault-para.cc","KEEP","contrib/satcompute/fault/fault-para.h [include:7]","contrib/satcompute/CMakeLists.txt:47 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/fault-para.h","95","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/fault-para.h","KEEP","","contrib/satcompute/CMakeLists.txt:152 [build_reference]; contrib/satcompute/fault/fault-para.cc:7 [include]; contrib/satcompute/fault/fault-para.cc:7 [literal_code_reference]; contrib/satcompute/fault/model/f1-self-state-fault-model.h:8 [include]; contrib/satcompute/fault/model/f1-self-state-fault-model.h:8 [literal_code_reference]; contrib/satcompute/fault/model/f2-radiation-fault-model.h:8 [include]; contrib/satcompute/fault/model/f2-radiation-fault-model.h:8 [literal_code_reference]; contrib/satcompute/fault/model/f3-debris-fault-model.h:8 [include]; contrib/satcompute/fault/model/f3-debris-fault-model.h:8 [literal_code_reference]; contrib/satcompute/fault/parameter/fault-parameter-validator.h:8 [include]; contrib/satcompute/fault/parameter/fault-parameter-validator.h:8 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:12 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:12 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:11 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:11 [literal_code_reference]; contrib/satcompute/satcompute.cc:12 [include]; contrib/satcompute/satcompute.cc:12 [literal_code_reference]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:6 [include]; contrib/satcompute/tests/unit/compute-fault-execution-test.cc:6 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:8 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:8 [literal_code_reference]; contrib/satcompute/tools/validation/f1-calibration.cc:6 [include]; contrib/satcompute/tools/validation/f1-calibration.cc:6 [literal_code_reference]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:9 [include]; contrib/satcompute/tools/validation/f2-exposure-calibration.cc:9 [literal_code_reference]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:9 [include]; contrib/satcompute/tools/validation/f2-spatial-validation.cc:9 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/compute-failure-predictor.cc","109","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/compute-failure-predictor.cc","KEEP","contrib/satcompute/fault/model/compute-failure-predictor.h [include:5]; contrib/satcompute/fault/model/compute-fault-combination.h [include:7]","contrib/satcompute/CMakeLists.txt:48 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/compute-failure-predictor.h","75","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/compute-failure-predictor.h","KEEP","contrib/satcompute/fault/model/f1-self-state-fault-model.h [include:8]; contrib/satcompute/fault/model/f2-radiation-fault-model.h [include:9]","contrib/satcompute/CMakeLists.txt:153 [build_reference]; contrib/satcompute/fault/model/compute-failure-predictor.cc:5 [include]; contrib/satcompute/fault/model/compute-failure-predictor.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.cc:7 [include]; contrib/satcompute/fault/runtime/fault-model-engine.cc:7 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:11 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:11 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:9 [include]; contrib/satcompute/fault/runtime/fault-prediction-engine.h:9 [literal_code_reference]; contrib/satcompute/protection/policy/compfrr/frequency/compfrr-frequency-policy.h:4 [include]; contrib/satcompute/protection/policy/compfrr/frequency/compfrr-frequency-policy.h:4 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:5 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:5 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/compute-fault-combination.cc","66","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/compute-fault-combination.cc","KEEP","contrib/satcompute/fault/model/compute-fault-combination.h [include:5]","contrib/satcompute/CMakeLists.txt:49 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/compute-fault-combination.h","49","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/compute-fault-combination.h","KEEP","","contrib/satcompute/CMakeLists.txt:154 [build_reference]; contrib/satcompute/fault/model/compute-failure-predictor.cc:7 [include]; contrib/satcompute/fault/model/compute-failure-predictor.cc:7 [literal_code_reference]; contrib/satcompute/fault/model/compute-fault-combination.cc:5 [include]; contrib/satcompute/fault/model/compute-fault-combination.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:13 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:13 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:6 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:6 [literal_code_reference]; contrib/satcompute/tests/unit/n5b-policy-test.cc:7 [include]; contrib/satcompute/tests/unit/n5b-policy-test.cc:7 [literal_code_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/f1-self-state-fault-model.cc","164","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f1-self-state-fault-model.cc","KEEP","contrib/satcompute/fault/model/f1-self-state-fault-model.h [include:5]","contrib/satcompute/CMakeLists.txt:50 [build_reference]","","","现有合同不变","false","0"
"contrib/satcompute/fault/model/f1-self-state-fault-model.h","68","outside-protection","PUBLIC_SUBSTRATE","","故障模型/预测/执行与独立随机流；预测只能读合法过去/当前快照","contrib/satcompute/fault/model/f1-self-state-fault-model.h","KEEP","contrib/satcompute/fault/fault-para.h [include:8]","contrib/satcompute/CMakeLists.txt:155 [build_reference]; contrib/satcompute/fault/model/compute-failure-predictor.h:8 [include]; contrib/satcompute/fault/model/compute-failure-predictor.h:8 [literal_code_reference]; contrib/satcompute/fault/model/f1-self-state-fault-model.cc:5 [include]; contrib/satcompute/fault/model/f1-self-state-fault-model.cc:5 [literal_code_reference]; contrib/satcompute/fault/runtime/fault-model-engine.h:14 [include]; contrib/satcompute/fault/runtime/fault-model-engine.h:14 [literal_code_reference]; contrib/satcompute/tests/unit/fault-model-test.cc:9 [include]; contrib/satcompute/tests/unit/fault-model-test.cc:9 [literal_code_reference]; contrib/satcompute/tools/validation/f1-calibration.cc:8 [include]; contrib/satcompute/tools/validation/f1-calibration.cc:8 [literal_code_reference]","","","现有合同不变","false","0"
