taskId,candidateSnapshots,decisionEvents,S_SEND,N_SEND,S_TO_N_NEW_TASK,sSendCandidates,nSendCandidates,sToNNewCandidates,sendCandidatesZeroInputFeasible,newCandidatesZeroInputFeasible,bestSMarginNs,bestNMarginNs,maxNIncrementalGainNs,allSendCandidatesBecameFeasible,evidence
5,55,1,False,False,False,0,0,0,0,0,-680002465.0580528,-679213644.0024304,788821.0556223989,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
12,117,2,False,False,False,0,0,0,0,0,-1761630986.7838345,-1760926142.81194,711919.0319836736,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
13,108,2,False,False,False,0,0,0,0,0,-447021701.54092383,-445268305.0993465,1753396.4415773153,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
193,54,1,True,True,False,54,54,0,54,0,1845086671.2899735,1846743064.1156242,1656392.825650692,True,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
244,113,2,True,True,False,113,113,0,113,0,46462631.38015056,49249049.033756256,2959069.3980715275,True,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
300,86,2,False,False,False,0,0,0,0,0,-860379131.4516342,-858677256.8323572,1701874.6192770004,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
302,105,2,False,False,False,0,0,0,0,0,-786618079.010133,-786084319.5708004,556170.439846918,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
304,176,3,False,False,False,0,0,0,0,0,-1167557349.1797051,-1166136846.0812783,1420503.09842664,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
513,290,5,True,True,False,290,290,0,290,0,2140521653.5945425,2145233116.1718507,4711462.577308178,True,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
584,51,1,False,False,False,0,0,0,0,0,-46919243.9794091,-45310160.181043506,1609083.798365593,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
766,83,2,False,False,False,0,0,0,0,0,-520154529.44881225,-518677563.2718698,1677449.2115149498,False,EXISTENTIAL_SEND_OVER_NON_VETO_CANDIDATE_SNAPSHOTS
