taskId,classification,observedNonVetoClasses,decisions,candidateSnapshots,nonVetoCandidateSnapshots,sameBatchVetoDecisions,bestDecisionTimeNs,decisionTrigger,fixedLocal,candidateRemotesConsidered,representativeRemote,D_slack,T_input,T_recovery_min,taskProfile,requiredPrefetchFractionLowerBound,requiredPrefetchSecondsLowerBound,initializationSeconds,riskLeadSeconds,selectiveWouldSend,hasFirstRiskTimelyWitness,firstRiskTimelyWitnessDecisionNs,firstRiskTimelyWitnessTrigger,firstRiskTimelyWitnessLeadSeconds,firstRiskTimelyWitnessInitializationSeconds,hasPureSendFirstRiskTimelyWitness,hasAnyRiskTimelyWitness,hasPureSendTimelyWitness,zeroInputStillInfeasibleAcrossAllNonVetoCandidates,canProceedToStartSelectiveStudy,evidenceLevel,actualCounterfactualPrefetchProgress
5,A,A,2,116,55,1,946160904148,TASK_RUNNING,0,55,1,0.46380599999999994,0.824538816,0.0077301,dense-image,0.446871522419631,0.36846291600000003,0.0025,0.839095852,DEFER,True,946160904148,TASK_RUNNING,0.839095852,0.0025,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
12,A,A,3,180,117,1,964915704243,TASK_RUNNING,7,56,0,1.261425,2.242530688,0.02102375,dense-image,0.44687434752286426,1.0021294379999999,0.0025,0.084295757,DEFER,False,,,,,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
13,A,A,3,162,108,1,719669050206,TASK_RUNNING,0,54,1,0.6822209999999997,1.212833152,0.011370350000000001,compression,0.44687309306004214,0.5419825020000002,0.0006000000000000001,0.330949794,DEFER,True,720000000000,FAULT_EPOCH,1.0,0.09816643200000001,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
193,A,A,2,109,54,1,551128704907,TASK_RUNNING,1,54,0,1.753215,3.116824576,0.02922025,compression,0.4468746289813649,1.3928298259999998,0.0025,0.871295093,SEND,False,,,,,False,True,True,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
244,A,A,3,175,113,1,736946703111,TASK_RUNNING,7,56,0,1.5559500000000002,2.766129152,0.0259325,dense-image,0.44687416388575046,1.236111652,0.0025,0.053296889,SEND,False,,,,,False,True,True,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
300,A,A,3,146,86,1,205489821374,TASK_RUNNING,43,26,33,1.3418790000000005,2.385557376,0.02236465,dense-image,0.44687377328458755,1.0660430259999996,0.0025,0.510178626,DEFER,False,,,,,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
302,A,A,3,160,105,1,103605941493,TASK_RUNNING,41,51,0,0.5292270000000001,0.940845312,0.00882045,dense-image,0.4468734197189685,0.42043876199999985,0.0025,0.394058507,DEFER,True,104000000000,FAULT_EPOCH,1.0,0.217218704,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
304,A,A,4,236,176,1,756194138773,TASK_RUNNING,7,58,0,1.147053,2.039204336,0.01911755,sparse-inference,0.4468747294778211,0.9112688859999998,0.0006000000000000001,0.805861227,DEFER,True,757000000000,FAULT_EPOCH,1.0,0.0044003359999999995,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
513,A,A,6,348,290,1,896520578394,TASK_RUNNING,0,57,1,2.44215,4.341597568,0.0407025,dense-image,0.4468746901601361,1.9401500680000003,0.01,0.479421606,SEND,False,,,,,False,True,True,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
584,A,A,2,97,51,1,813029601962,TASK_RUNNING,9,51,4,1.133823,2.01568068,0.01889705,sparse-inference,0.4468737230740338,0.9007547300000001,0.0006000000000000001,0.970398038,DEFER,True,813029601962,TASK_RUNNING,0.970398038,0.0006000000000000001,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
766,A,A,3,128,83,1,203420492573,TASK_RUNNING,8,52,4,1.009824,1.795238016,0.0168304,compression,0.44687356709807996,0.802244416,0.0025,0.579507427,DEFER,True,204000000000,FAULT_EPOCH,1.0,0.173600488,False,True,False,False,True,EXISTENTIAL_MODEL_WITNESS_NOT_GUARANTEED_RESCUE,UNKNOWN_NOT_SENT
